test_name,elapsed_time,compile_time,exec_time
blake2b-8415-bytes,0.09941935539245605,0.013225,9.1e-05
blake2b-8415-bytes,0.10985493659973145,0.021558,3.9e-05
blake2b-8415-bytes,0.11425662040710449,0.024701,6.1e-05
blake2b-8415-bytes,0.10892271995544434,0.01964,4.1e-05
blake2b-8415-bytes,0.10097098350524902,0.020621,3.9e-05
blake2b-8415-bytes,0.09656810760498047,0.017091,4.8e-05
blake2b-8415-bytes,0.09857869148254395,0.021206,3.8e-05
blake2b-8415-bytes,0.10507607460021973,0.020883,3.9e-05
blake2b-8415-bytes,0.10471129417419434,0.019241,8.5e-05
blake2b-8415-bytes,0.1062169075012207,0.020299,3.9e-05
blake2b-8415-bytes,0.10483932495117188,0.02049,3.9e-05
blake2b-8415-bytes,0.09968852996826172,0.017544,4.2e-05
blake2b-8415-bytes,0.10629844665527344,0.020424,4e-05
blake2b-8415-bytes,0.0999913215637207,0.020743,3.8e-05
blake2b-8415-bytes,0.10209512710571289,0.020429,4e-05
blake2b-8415-bytes,0.11020517349243164,0.027356,4.5e-05
blake2b-8415-bytes,0.11213445663452148,0.021842,4e-05
blake2b-8415-bytes,0.1295781135559082,0.026796,6.1e-05
blake2b-8415-bytes,0.139556884765625,0.02608,5.9e-05
blake2b-8415-bytes,0.1206059455871582,0.017709,4.7e-05
blake2b-8415-bytes,0.11343240737915039,0.020058,4.7e-05
blake2b-8415-bytes,0.11020565032958984,0.017696,4.2e-05
blake2b-8415-bytes,0.10388660430908203,0.018067,4.1e-05
blake2b-8415-bytes,0.11289596557617188,0.018428,4.3e-05
blake2b-8415-bytes,0.1178443431854248,0.020365,5.8e-05
blake2b-8415-bytes,0.1319892406463623,0.0208,6.1e-05
blake2b-8415-bytes,0.12125921249389648,0.021157,4.6e-05
blake2b-8415-bytes,0.10633325576782227,0.018111,3.9e-05
blake2b-8415-bytes,0.11114311218261719,0.021098,3.9e-05
blake2b-8415-bytes,0.11268734931945801,0.021296,5.4e-05
blake2b-8415-bytes,0.13202905654907227,0.028937,7.6e-05
blake2b-8415-bytes,0.1239473819732666,0.020727,5.6e-05
blake2b-8415-bytes,0.1154165267944336,0.020331,4.7e-05
blake2b-8415-bytes,0.11900663375854492,0.0195,5e-05
blake2b-8415-bytes,0.10598635673522949,0.020332,7.9e-05
blake2b-8415-bytes,0.11241698265075684,0.021309,3.8e-05
blake2b-8415-bytes,0.10363364219665527,0.016985,4e-05
blake2b-8415-bytes,0.11241459846496582,0.020944,4.6e-05
blake2b-8415-bytes,0.11132621765136719,0.019712,4e-05
blake2b-8415-bytes,0.1272428035736084,0.027203,6.1e-05
blake2b-8415-bytes,0.12741923332214355,0.021023,5e-05
blake2b-8415-bytes,0.10971665382385254,0.019017,9.5e-05
blake2b-8415-bytes,0.1154627799987793,0.024797,6e-05
blake2b-8415-bytes,0.11599516868591309,0.020018,4.1e-05
blake2b-8415-bytes,0.10918116569519043,0.02144,5.2e-05
blake2b-8415-bytes,0.10673069953918457,0.02239,4.7e-05
blake2b-8415-bytes,0.11342620849609375,0.021389,9.6e-05
blake2b-8415-bytes,0.13707470893859863,0.02092,7.4e-05
blake2b-8415-bytes,0.13165688514709473,0.025744,0.000126
blake2b-8415-bytes,0.11272788047790527,0.019566,5.4e-05
blake2b-2805-bytes,0.1046895980834961,0.017779,6.6e-05
